Dpt,Arthaud,Asselineau,Cheminade,DupontAignan,Fillon,Hamon,Lasalle,LePen,Macron,Melenchon,Poutou,Groupe,Nom_Departement,Localisation_PowerBI
Deux-Sèvres,0.8717432065597627,0.6893721023517011,0.18330394873086503,5.296691200477617,18.747842797041017,6.973012807955298,1.212231457382998,18.022556180561384,26.97133368781425,19.407363874663012,1.6245487364620936,1,Deux-Sèvres,"Deux-Sèvres, France"
Somme,0.9732946226332454,0.7108085447196185,0.18114355078902253,4.837377516925502,16.21657134991052,4.461324756910987,0.7399041409603424,30.372361060706552,21.74974032962495,18.612108773730117,1.145365353089139,2,Somme,"Somme Department, France"
Tarn,0.5976291619074509,0.7794418990661243,0.18780186261801787,4.893971089635818,17.56182702550084,6.6436513131157575,3.039481170617351,22.41729659432659,22.140513439169737,20.574357131551142,1.1640293124911767,2,Tarn,"Tarn, France"
Tarn-et-Garonne,0.5653912439288561,0.910756738714314,0.18119767576515147,4.927078153418574,17.705601460480512,5.835791309323506,2.493171027445317,26.691235073330567,20.653129065878296,18.965129665329254,1.0715185863856513,2,Tarn-et-Garonne,"Tarn-et-Garonne, France"
Var,0.3713028910681571,0.9568315486628851,0.15952635205522844,4.764074077702559,24.87043586452833,3.443450602346686,1.1320329568054237,30.43181513883854,17.73191735326678,15.378536276325114,0.7600769384002952,0,Var,"Var, France"
Vaucluse,0.44171747902796693,0.9197143475438216,0.17280446045546546,4.5992082182364395,18.973165981389307,4.313110225695992,1.2694603918174066,30.528788013798895,18.524128976412033,19.365556220324095,0.892345685298573,2,Vaucluse,"Vaucluse, France"
Vendée,0.7864766134231073,0.6458467636033712,0.16617720793639423,5.780626984695461,25.50056108683714,5.0989661676575215,0.9096769572380201,18.52541603992073,26.26101282143113,15.079149058090394,1.2460902991667264,0,Vendée,"Vendée, France"
Vienne,0.8723522385046352,0.7974830492790685,0.2355435166647038,5.013711997577267,17.961454985951512,7.091962918720663,1.2033750021030671,19.77892558507327,24.87760149401888,20.635715126941133,1.5318740851658057,1,Vienne,"Vienne Department, France"
Haute-Vienne,0.8876520404001631,0.7470671496773265,0.21111724204111987,4.455053618981359,15.604443058321138,7.742245039944342,1.6879783125014993,18.2026245711681,26.666506729362087,22.334764772209294,1.4605474653935657,1,Haute-Vienne,"Haute-Vienne, France"
Vosges,0.9129757359841824,1.0127470364734719,0.20728740512614918,6.525225282685351,18.031270785687603,4.959863691447003,1.2528359650481544,29.12228590172299,19.864967061803537,16.639483922697742,1.4710572113238147,2,Vosges,"Vosges, France"
Yonne,0.747752678092472,0.9617833359522739,0.18477077045618331,6.322303078248524,19.907018580028502,4.7932030365260925,1.076655486499813,28.522971720860674,19.633384447827996,16.69710056189821,1.1530563036092611,2,Yonne,"Yonne, France"
